"GeneName","n_eqtl","min_p","islet_available"
"RP11-457M11.5",1,1.7963e-28,TRUE
"LINC00240",1,1.30558e-07,TRUE
"RP1-86C11.7",1,1.17341e-07,TRUE
"HIST1H2BK",1,2.40693e-06,TRUE
"ZNF391",1,2.21873e-21,TRUE
"HIST1H2BN",1,6.04363e-07,TRUE
"PGBD1",1,1.91451e-06,TRUE
"ZSCAN31",1,1.19983e-17,TRUE
"ZSCAN12",1,1.65022e-08,TRUE
"ZSCAN23",1,1.06003e-18,TRUE
"SERPINB6",2,2.72195e-11,TRUE
"GABBR1",1,2.62574e-06,TRUE
"HLA-F",1,2.32061e-16,TRUE
"HLA-G",1,3.18254e-10,TRUE
"HLA-A",1,1.24339e-44,TRUE
"ZNRD1",1,1.38236e-16,TRUE
"TRIM31",1,1.93259e-15,TRUE
"HCG17",1,5.59372e-09,TRUE
"ABCF1",1,1.07911e-07,TRUE
"PPP1R18",1,5.49302e-07,TRUE
"HCG20",1,6.9884e-26,TRUE
"VARS2",1,1.55351e-17,TRUE
"SFTA2",1,1.10475e-06,TRUE
"PSORS1C1",1,1.2186e-49,TRUE
"CCHCR1",1,1.11812e-14,TRUE
"TCF19",1,9.83005e-14,TRUE
"POU5F1",1,1.48405e-16,TRUE
"AC093627.9",1,1.98763e-06,TRUE
"AC093627.10",1,9.53262e-17,TRUE
"FAM20C",1,1.83034e-06,TRUE
"AC147651.3",1,2.75668e-09,TRUE
"HEATR2",1,1.27823e-09,TRUE
"PRKAR1B",1,2.07789e-09,TRUE
"COX19",1,2.18837e-06,TRUE
"ZFAND2A",1,8.67514e-19,TRUE
"INTS1",1,3.10076e-07,TRUE
"PSMG3-AS1",1,3.36132e-12,TRUE
"FTSJ2",1,1.7314e-12,TRUE
"AC004840.9",1,1.45444e-08,TRUE
"AMZ1",1,9.00327e-07,TRUE
"CARD11",1,1.78257e-15,TRUE
"RBAK",1,9.48271e-07,TRUE
"CCZ1",1,6.14222e-52,TRUE
"RSPH10B",1,3.92053e-53,TRUE
"PMS2",1,2.1579e-10,TRUE
"ZDHHC4",1,1.41755e-07,TRUE
"RSPH10B2",1,2.07897e-74,TRUE
"CCZ1B",1,2.12199e-64,TRUE
"C1GALT1",1,8.55097e-08,TRUE
"COL28A1",1,2.11543e-09,TRUE
"RP5-1159O4.2",1,1.65918e-10,TRUE
"RPA3-AS1",1,1.2881e-31,TRUE
"RPA3",1,3.34847e-08,TRUE
"THSD7A",1,1.61484e-14,TRUE
"VWDE",1,2.06193e-49,TRUE
"SCIN",1,4.72497e-07,TRUE
"DGKB",1,2.36384e-16,TRUE
"HCG9",2,1.49798e-10,TRUE
"GTF2H4",2,3.91774e-12,TRUE
"CDSN",2,8.52533e-75,TRUE
"RAC1",2,2.09481e-08,TRUE
"AGMO",1,5.60286e-07,TRUE
"GS1-166A23.2",1,2.10525e-08,TRUE
"AGR2",1,1.35356e-15,TRUE
"AC017060.1",1,4.93507e-08,TRUE
"TMEM196",1,5.11377e-07,TRUE
"ITGB8",1,2.80749e-07,TRUE
"TOMM7",1,2.47385e-12,TRUE
"KLHL7-AS1",1,2.56042e-89,TRUE
"AC005082.12",1,6.80197e-46,TRUE
"FAM221A",1,2.15219e-08,TRUE
"STK31",1,9.76388e-09,TRUE
"NPY",1,2.19471e-21,TRUE
"MPP6",1,8.93135e-07,TRUE
"DFNA5",1,7.31137e-09,TRUE
"AC004540.5",1,2.14701e-13,TRUE
"HIBADH",1,5.25594e-15,TRUE
"CPVL",1,7.20693e-10,TRUE
